Year,GDP
1929,1.11
1930,1.02
1931,0.95
1932,0.83
1933,0.82
1934,0.91
1935,0.99
1936,1.11
1937,1.17
1938,1.13
1939,1.22
1940,1.33
1941,1.57
1942,1.86
1943,2.18
1944,2.35
1945,2.33
1946,2.06
1947,2.04
1948,2.12
1949,2.11
1950,2.29
1951,2.47
1952,2.58
1953,2.7
1954,2.68
1955,2.87
1956,2.932
1957,2.99
1958,2.97
1959,3.18
1960,3.26
1961,3.34
1962,3.55
1963,3.7
1964,3.92
1965,4.17
1966,4.45
1967,4.57
1968,4.79
1969,4.94
1970,4.95
1971,5.11
1972,5.38
1973,5.69
1974,5.66
1975,5.65
1976,5.95
1977,6.22
1978,6.57
1979,6.78
1980,6.76
1981,6.93
1982,6.81
1983,7.12
1984,7.63
1985,7.95
1986,8.23
1987,8.51
1988,8.87
1989,9.19
1990,9.37
1991,9.36
1992,9.69
1993,9.95
1994,10.35
1995,10.63
1996,11.03
1997,11.52
1998,12.04
1999,12.61
2000,13.13
2001,13.26
2002,13.49
2003,13.88
2004,14.41
2005,14.91
2006,15.34
2007,15.63
2008,15.61
2009,15.21
2010,15.6
2011,15.84
2012,16.2
2013,16.5
2014,16.91
2015,17.43
2016,17.73
2017,18.14
2018,18.69
2019,19.092
