Year,st,State,Atkin05,Gini,RMeanDev,Theil
1917,0,United States,0.255703449,0.507680595,0.792800307,0.844601393
1917,1,Alabama,0.156438604,0.399791867,0.608259499,0.446907878
1917,3,Arizona,0.159122244,0.399657935,0.61767143,0.450124532
1917,4,Arkansas,0.127597526,0.376482785,0.561483145,0.32499817
1917,5,California,0.192735285,0.449362546,0.687848687,0.553005636
1917,6,Colorado,0.193049833,0.438901246,0.666753888,0.585714996
1917,7,Connecticut,0.263607621,0.53154701,0.833296001,0.799220562
1917,8,Delaware,0.507853448,0.727728069,1.208080769,2.001549006
1917,9,District of Columbia,0.224560738,0.482478231,0.74895519,0.66779983
1917,10,Florida,0.15393348,0.397961587,0.597755194,0.441035032
1917,11,Georgia,0.144558519,0.388794899,0.575998962,0.405356973
1917,13,Idaho,0.120770201,0.34610495,0.513644993,0.337440073
1917,14,Illinois,0.237833053,0.487053216,0.758028865,0.766210318
1917,15,Indiana,0.150683686,0.383764029,0.582576454,0.427314341
1917,16,Iowa,0.089228012,0.300658852,0.437034547,0.231292754
1917,17,Kansas,0.13665922,0.366322577,0.545994759,0.38451007
1917,18,Kentucky,0.168450683,0.422666013,0.6405617,0.460668713
1917,19,Louisiana,0.196825564,0.466088861,0.714991271,0.536072135
1917,20,Maine,0.21444267,0.483965099,0.744482756,0.602324724
1917,21,Maryland,0.234988034,0.50558567,0.773020208,0.695007026
1917,22,Massachusetts,0.302884042,0.580388665,0.919436514,0.896191239
1917,23,Michigan,0.23695071,0.489041418,0.764293075,0.756869495
1917,24,Minnesota,0.205374807,0.445720136,0.692749679,0.622442842
1917,25,Mississippi,0.169017866,0.436748475,0.658898294,0.441433489
1917,26,Missouri,0.212585703,0.46901077,0.724026501,0.631586671
1917,27,Montana,0.123602152,0.354874611,0.530999482,0.339561045
1917,28,Nebraska,0.095111981,0.305532992,0.445068359,0.258293271
1917,29,Nevada,0.094767779,0.31527397,0.471728891,0.237901151
1917,30,New Hampshire,0.214604422,0.48403284,0.744521141,0.601353168
1917,31,New Jersey,0.25186947,0.512200654,0.798236012,0.784140646
1917,32,New Mexico,0.169685557,0.41891861,0.64091903,0.474554747
1917,33,New York,0.370166183,0.629399717,1.005979776,1.301637888
1917,34,North Carolina,0.18217738,0.430408478,0.651907802,0.540651441
1917,35,North Dakota,0.074126117,0.27694726,0.402530581,0.184662342
1917,36,Ohio,0.26236856,0.518598914,0.814432502,0.851416528
1917,37,Oklahoma,0.179149687,0.418078631,0.632610142,0.555379629
1917,38,Oregon,0.176820755,0.425189465,0.644724131,0.531020701
1917,39,Pennsylvania,0.297476739,0.559789479,0.88468188,0.953695893
1917,40,Rhode Island,0.34686774,0.606528938,0.966953099,1.162149787
1917,41,South Carolina,0.131136462,0.368056834,0.547167778,0.370361716
1917,42,South Dakota,0.054613981,0.240189657,0.346259981,0.13208887
1917,43,Tennessee,0.157808557,0.416278571,0.635701239,0.412699074
1917,44,Texas,0.170945168,0.415792108,0.631979883,0.512545466
1917,45,Utah,0.173313886,0.422347099,0.643259108,0.494340956
1917,46,Vermont,0.253235489,0.510027111,0.791752577,0.805822849
1917,47,Virginia,0.178645223,0.435853481,0.665588319,0.501116395
1917,48,Washington,0.156359091,0.397824198,0.601000786,0.448433459
1917,49,West Virginia,0.219670206,0.482665241,0.749864817,0.628844678
1917,50,Wisconsin,0.188750356,0.441684961,0.683663964,0.534979999
1917,51,Wyoming,0.167739823,0.428996444,0.658268571,0.443599701
1918,0,United States,0.190681174,0.441236973,0.642700255,0.59165138
1918,1,Alabama,0.113453262,0.346332014,0.493133396,0.295757324
1918,3,Arizona,0.127538815,0.356613398,0.515749156,0.360247761
1918,4,Arkansas,0.124979503,0.377164006,0.550885618,0.311321914
1918,5,California,0.163000658,0.41719532,0.599571645,0.451883346
1918,6,Colorado,0.116406649,0.3398242,0.48095873,0.3296929
1918,7,Connecticut,0.202748507,0.460177004,0.674198389,0.599391401
1918,8,Delaware,0.329294652,0.569236517,0.892880201,1.228278041
1918,9,District of Columbia,0.186416835,0.438614786,0.645635307,0.545776367
1918,10,Florida,0.132320389,0.382938743,0.563922226,0.335379064
1918,11,Georgia,0.142185107,0.392978072,0.568301082,0.375054866
1918,13,Idaho,0.080035239,0.303747654,0.427293211,0.189464599
1918,14,Illinois,0.190061301,0.447603881,0.652851164,0.564895451
1918,15,Indiana,0.107003517,0.330549479,0.466694474,0.285323083
1918,16,Iowa,0.080451287,0.300823569,0.416966051,0.189591974
1918,17,Kansas,0.095230341,0.324391186,0.454328895,0.234710544
1918,18,Kentucky,0.152336076,0.405143052,0.59533602,0.410131007
1918,19,Louisiana,0.192929983,0.466577291,0.682642877,0.518742144
1918,20,Maine,0.162115365,0.413119584,0.598116934,0.454985797
1918,21,Maryland,0.176931307,0.422967911,0.612867594,0.528574765
1918,22,Massachusetts,0.243642807,0.502454996,0.755763888,0.754343808
1918,23,Michigan,0.178883716,0.427059799,0.620899677,0.543345809
1918,24,Minnesota,0.147551656,0.380131602,0.539054275,0.436618745
1918,25,Mississippi,0.127987176,0.377701074,0.534368038,0.32391277
1918,26,Missouri,0.163772494,0.420136899,0.608521819,0.446235895
1918,27,Montana,0.100790359,0.317430645,0.441033125,0.28470701
1918,28,Nebraska,0.08279638,0.30535835,0.431472152,0.199658751
1918,29,Nevada,0.068985589,0.282699496,0.387454063,0.1585017
1918,30,New Hampshire,0.172192067,0.425213128,0.621933162,0.48456791
1918,31,New Jersey,0.185644105,0.433433712,0.635136247,0.558742821
1918,32,New Mexico,0.08233083,0.28840059,0.403051436,0.216630057
1918,33,New York,0.296285152,0.557675481,0.85233742,1.002405643
1918,34,North Carolina,0.174672365,0.42341578,0.633444488,0.508900046
1918,35,North Dakota,0.07113985,0.287734866,0.409392953,0.162328824
1918,36,Ohio,0.168152392,0.406634897,0.586528838,0.509538651
1918,37,Oklahoma,0.126788259,0.364856601,0.516705155,0.344660252
1918,38,Oregon,0.148613527,0.392495483,0.564076722,0.429636776
1918,39,Pennsylvania,0.203448921,0.445582688,0.648557246,0.656708837
1918,40,Rhode Island,0.273646504,0.529801965,0.807262599,0.899961352
1918,41,South Carolina,0.109056078,0.349952251,0.506386042,0.269664526
1918,42,South Dakota,0.061716322,0.270468712,0.382220089,0.137449324
1918,43,Tennessee,0.147468537,0.397225022,0.580841422,0.394290924
1918,44,Texas,0.159519851,0.411279231,0.606764197,0.445716858
1918,45,Utah,0.104445472,0.340239882,0.485447556,0.260982335
1918,46,Vermont,0.181607381,0.439484268,0.634423137,0.51380235
1918,47,Virginia,0.139527008,0.38419804,0.556564569,0.378241986
1918,48,Washington,0.109954722,0.336607665,0.478827655,0.302004874
1918,49,West Virginia,0.121434808,0.353016675,0.49650529,0.333926588
1918,50,Wisconsin,0.146935374,0.391591191,0.561230063,0.403864563
1918,51,Wyoming,0.160052463,0.428132176,0.637498796,0.41133371
1919,0,United States,0.196556643,0.455600679,0.663591444,0.595403433
1919,1,Alabama,0.138497323,0.38915655,0.56350863,0.361646354
1919,3,Arizona,0.112895511,0.347709239,0.503429472,0.295835704
1919,4,Arkansas,0.121003419,0.367663682,0.535085559,0.304370254
